Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
G5R1_MAIN_01AUG2016_LD1.stat	5975345	5924069	1456152	1445666	3022251	33663	2084849	256653	503476	82.4	251738.0	1042424.5	128326.5
G5R1_MAIN_03OCT2016_LD1.stat	8615788	8528146	6957303	457799	1113044	9540	13668862	73292	153372	19.82	76686.0	6834431.0	36646.0
G5R1_MAIN_09MAY2016_LD1.stat	6888824	6828883	2222145	1508784	3097954	36624	3624079	268840	478123	73.46	239061.5	1812039.5	134420.0
G5R1_MAIN_12JUL2016_LD1.stat	10182583	10042351	2022000	2594162	5426189	68503	2384468	495577	1026949	88.09	513474.5	1192234.0	247788.5
G5R1_MAIN_12SEP2016_LD1.stat	8024208	7957864	4843759	1002139	2111966	18921	9179491	168248	301937	42.27	150968.5	4589745.5	84124.0
G5R1_MAIN_20JUN2016_LD1.stat	6491964	6441413	1835643	1516009	3089761	32828	2856505	261884	487241	77.82	243620.5	1428252.5	130942.0
G5R1_MAIN_22AUG2016_LD1.stat	9820679	9695253	3227852	1988998	4478403	55610	5138331	381779	824374	73.38	412187.0	2569165.5	190889.5
G5R1_MAIN_31MAY2016_LD1.stat	6371712	6310890	1303276	1732109	3275505	51596	1536426	320143	646791	87.81	323395.5	768213.0	160071.5
G5R1_NF_01AUG2016_LD1.stat	6392319	6329412	1580606	1560091	3188715	37745	2257471	280998	547253	82.15	273626.5	1128735.5	140499.0
G5R1_NF_03OCT2016_LD1.stat	8545747	8471997	5891108	793735	1787154	14315	11370399	132548	250639	32.84	125319.5	5685199.5	66274.0
G5R1_NF_09MAY2016_LD1.stat	5517618	5473795	3636310	606842	1230643	18914	6879297	121013	234482	37.16	117241.0	3439648.5	60506.5
G5R1_NF_12JUL2016_LD1.stat	6748882	6688179	1320271	1752400	3615508	39997	1650170	310813	599565	87.65	299782.5	825085.0	155406.5
G5R1_NF_12SEP2016_LD1.stat	9196582	9128071	3915251	1668747	3544073	29203	7014047	272467	485582	61.53	242791.0	3507023.5	136233.5
G5R1_NF_20JUN2016_LD1.stat	6171331	6116500	1282359	1624646	3209495	40969	1636767	291360	554653	86.61	277326.5	818383.5	145680.0
G5R1_NF_22AUG2016_LD1.stat	6147585	6088961	1845864	1343729	2899368	29998	2924930	240872	465930	75.96	232965.0	1462465.0	120436.0
G5R1_NF_31MAY2016_LD1.stat	7874532	7776723	1582351	2093678	4100694	57544	1911438	387108	751068	87.65	375534.0	955719.0	193554.0
G5R2_MAIN_01AUG2016_LD1.stat	12890353	12746203	3619106	3061870	6065227	76051	5492037	545378	1048695	78.43	524347.5	2746018.5	272689.0
G5R2_MAIN_03OCT2016_LD1.stat	8950200	8873165	6960913	614411	1297841	13859	13564722	111252	218134	23.52	109067.0	6782361.0	55626.0
G5R2_MAIN_09MAY2016_LD1.stat	5733910	5682372	3473446	712198	1496728	21090	6474973	148098	281641	43.02	140820.5	3237486.5	74049.0
G5R2_MAIN_12JUL2016_LD1.stat	6816783	6753075	1310031	1818576	3624468	50139	1530518	329657	659609	88.65	329804.5	765259.0	164828.5
G5R2_MAIN_12SEP2016_LD1.stat	9551079	9486264	3690990	1837668	3957606	32807	6451672	307112	557582	65.95	278791.0	3225836.0	153556.0
G5R2_MAIN_20JUN2016_LD1.stat	6405347	6347927	1217875	1707988	3422064	38339	1517245	293998	547829	88.04	273914.5	758622.5	146999.0
G5R2_MAIN_22AUG2016_LD1.stat	13948226	13770800	4990962	2689701	6090137	60203	8397597	481061	982860	69.45	491430.0	4198798.5	240530.5
G5R2_MAIN_31MAY2016_LD1.stat	12103778	11950005	2300375	3310640	6338990	81232	2793577	577471	1067238	88.29	533619.0	1396788.5	288735.5
G5R2_NF_01AUG2016_LD1.stat	15962779	15787307	3527345	4096870	8163092	92069	4861805	704861	1303886	84.58	651943.0	2430902.5	352430.5
G5R2_NF_03OCT2016_LD1.stat	8971316	8899698	6486403	745044	1668251	13475	12583048	126687	236121	29.27	118060.5	6291524.0	63343.5
